scheme_name,short_description,full_description,min_age,max_age,max_income,category,state,occupation,education,area_type,benefit_amount,scheme_type,eligibility_details,application_steps,documents_required,reference_link
Pradhan Mantri Awas Yojana (PMAY),Affordable housing support for economically weaker sections,"Pradhan Mantri Awas Yojana (PMAY) is a flagship housing initiative by Government of India aimed at providing Housing for All. It provides financial assistance and interest subsidy to eligible beneficiaries.",21,60,300000,All,All,All,All,All,120000,Housing,"Must be Indian citizen;No pucca house ownership;Income under EWS/LIG;Aadhaar mandatory","Visit official website;Click Apply Online;Enter Aadhaar;Fill form;Upload documents;Submit application","Aadhaar Card;Income Certificate;Address Proof;Bank Details",https://pmaymis.gov.in
National Merit Scholarship,Merit based financial support for undergraduate students,"National Merit Scholarship provides financial assistance to academically outstanding students pursuing undergraduate studies in recognized Indian institutions.",17,25,300000,All,All,Student,Undergraduate,All,50000,Scholarship,"Must be enrolled in recognized UG program;Minimum academic performance required;Family income within limit","Visit National Scholarship Portal;Register;Upload academic documents;Submit application;Track status online","Aadhaar Card;Income Certificate;Marksheet;Bank Details",https://scholarships.gov.in
SC/ST Higher Education Grant,Financial support for SC/ST higher education students,"This scheme provides financial aid to SC/ST category students pursuing higher education including graduation and post-graduation programs.",18,30,400000,SC/ST,All,Student,Graduate,All,75000,Scholarship,"Applicant must belong to SC/ST category;Valid caste certificate required;Income within limit","Apply through state scholarship portal;Upload caste certificate;Submit academic proof","Caste Certificate;Aadhaar Card;Income Certificate;Academic Records",https://scholarships.gov.in
Minority Education Support,Scholarship for minority community students,"Minority Education Support scheme assists students belonging to notified minority communities for continuation of higher studies.",17,28,300000,All,All,Student,All,All,60000,Scholarship,"Belong to notified minority community;Enrolled in recognized course;Income criteria applicable","Register on scholarship portal;Upload minority proof;Submit bank details","Minority Certificate;Income Certificate;Aadhaar;Bank Passbook",https://scholarships.gov.in
Research Fellowship Scheme,Postgraduate research financial fellowship,"Provides monthly fellowship to postgraduate and doctoral students engaged in approved research programs.",22,35,600000,All,All,Student,Postgraduate,All,100000,Scholarship,"Admission in recognized PG/PhD program;Research proposal approval;Income guidelines","Apply through university research portal;Submit proposal;Verification process","Research Proposal;University ID;Aadhaar;Bank Details",https://ugc.ac.in
PM Affordable Housing Urban,Urban housing subsidy for low income families,"Provides financial assistance to eligible beneficiaries in urban areas for purchase or construction of houses under affordable housing initiative.",21,60,300000,All,All,All,All,Urban,150000,Housing,"Indian citizen;No pucca house;Urban resident;Income within EWS/LIG range","Apply online through housing portal;Complete Aadhaar verification;Upload documents","Aadhaar Card;Income Certificate;Urban Residence Proof",https://pmaymis.gov.in
PM Affordable Housing Rural,Rural housing support for economically weaker sections,"Provides assistance to rural households for constructing safe and durable housing.",21,65,300000,All,All,All,All,Rural,180000,Housing,"Rural household;No permanent house;Income eligibility;Verified beneficiary list","Apply through Panchayat office;Submit Aadhaar;Verification visit","Aadhaar Card;Rural Residence Certificate;Income Proof",https://pmayg.nic.in
Mudra Micro Enterprise Loan,Loan assistance for small business startups,"Offers financial support to micro and small enterprises under Shishu, Kishor and Tarun categories.",21,55,600000,All,All,Business,All,All,800000,Loan,"Indian entrepreneur;Business plan required;No prior default history","Visit bank;Submit business plan;KYC verification;Loan processing","Business Plan;Aadhaar;PAN Card;Bank Statements",https://www.mudra.org.in
Women Startup Loan,Special startup loan for women entrepreneurs,"Provides financial assistance to women starting or expanding small businesses under government supported loan schemes.",21,45,500000,All,All,Business,All,All,700000,Loan,"Woman entrepreneur;Business registration required;Income norms applicable","Apply through partner bank;Submit documents;Verification and approval","Aadhaar;PAN;Business Registration;Bank Details",https://www.mudra.org.in
Student Education Loan,Higher education loan assistance,"Provides education loans for higher studies in India and abroad with subsidized interest rates.",18,30,800000,All,All,Student,All,All,1000000,Loan,"Admission in recognized institution;Co-borrower required;Income eligibility","Visit bank branch;Submit admission letter;KYC verification;Loan sanction","Admission Letter;Aadhaar;Income Proof;Bank Statements",https://www.mudra.org.in
